Name,Date,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,CMP / BV,EPS 12M Rs.,ROE %,Debt / Eq,Ind PE,PEG
Adani Enterp.,"08/05/2024, ""to"", 09/05/2024",-93.90000000000009,-2.950000000000003,-10767.860000000044,0.0,0.0,0.0,0.0,0.0,0.0,-0.21999999999999886,0.0,0.0,0.0,0.0,-0.07000000000000006
Adani Ports,"08/05/2024, ""to"", 09/05/2024",-32.299999999999955,-0.7899999999999991,-7073.669999999984,0.0,0.0,0.0,0.0,0.0,0.0,-0.17999999999999972,0.0,0.0,0.0,0.0,-0.050000000000000266
Apollo Hospitals,"08/05/2024, ""to"", 09/05/2024",-53.600000000000364,-0.9899999999999949,-792.0500000000029,0.0,0.0,0.0,0.0,0.0,0.0,-0.11999999999999922,0.0,0.0,0.0,-0.05000000000000426,-0.010000000000000009
Asian Paints,"08/05/2024, ""to"", 09/05/2024",-134.1500000000001,-2.4399999999999977,-13090.330000000016,0.04999999999999993,-199.86000000000013,-34.58,-372.3299999999999,-6.04,3.1400000000000006,-2.610000000000001,0.23000000000000398,3.710000000000001,-0.010000000000000009,-0.04999999999999716,-0.98
Axis Bank,"08/05/2024, ""to"", 09/05/2024",-13.199999999999818,-0.1800000000000015,-4152.739999999991,0.0,0.0,0.0,0.0,0.0,0.0,-0.040000000000000036,0.0,0.0,0.0,-0.009999999999999787,-0.010000000000000009
B P C L,"08/05/2024, ""to"", 09/05/2024",-28.149999999999977,-0.17999999999999972,-6162.139999999999,0.1599999999999997,0.0,0.0,0.0,0.0,0.0,-0.04999999999999982,0.0,0.0,0.0,0.009999999999999787,0.010000000000000009
Bajaj Auto,"08/05/2024, ""to"", 09/05/2024",99.45000000000073,0.4100000000000037,2796.1300000000047,-0.010000000000000009,0.0,0.0,0.0,0.0,0.0,0.16000000000000014,0.0,0.0,0.0,-0.160000000000025,0.040000000000000036
Bajaj Finance,"08/05/2024, ""to"", 09/05/2024",-194.30000000000018,-0.8599999999999994,-12030.140000000014,0.0,0.0,0.0,0.0,0.0,0.0,-0.16999999999999993,0.0,0.0,0.0,0.19000000000000128,-0.030000000000000027
Bajaj Finserv,"08/05/2024, ""to"", 09/05/2024",-38.450000000000045,-0.75,-6245.5500000000175,0.0,0.0,0.0,0.0,0.0,0.0,-0.11000000000000032,0.0,0.0,0.0,0.19000000000000128,-0.040000000000000036
Bharti Airtel,"08/05/2024, ""to"", 09/05/2024",-11.549999999999955,-0.5900000000000034,-7559.040000000037,0.0,0.0,0.0,0.0,0.0,0.0,-0.08000000000000007,0.0,0.0,0.0,-0.010000000000005116,-0.010000000000000009
Britannia Inds.,"08/05/2024, ""to"", 09/05/2024",-154.39999999999964,-1.7399999999999949,-3787.0899999999965,0.0,0.0,0.0,0.0,0.0,0.0,-0.9800000000000004,0.0,0.0,0.0,0.010000000000005116,-0.1299999999999999
Cipla,"08/05/2024, ""to"", 09/05/2024",-24.600000000000136,-0.46999999999999886,-1929.8699999999953,0.0,0.0,0.0,0.0,0.0,0.0,-0.1299999999999999,0.0,0.0,0.0,-0.3300000000000054,-0.020000000000000018
