Name,CMP Rs.,P/E,Mar Cap Rs.Cr.,Div Yld %,NP Qtr Rs.Cr.,Qtr Profit Var %,Sales Qtr Rs.Cr.,Qtr Sales Var %,ROCE %,CMP / BV,EPS 12M Rs.,ROE %,Debt / Eq,Ind PE,PEG,Date
Sun Pharma.Inds.,1520.00,38.96,364747.05,0.76,2560.54,19.23,12380.70,10.14,16.44,6.09,37.12,16.55,0.03,35.95,1.48,2024-05-08
O N G C,276.80,7.60,348349.45,4.06,10748.46,-9.91,165569.06,-2.15,13.92,1.12,33.34,14.13,0.46,16.15,0.65,2024-05-08
Wipro,462.90,21.93,242201.58,0.22,2858.20,-7.80,22208.30,-4.23,17.15,3.25,21.14,14.51,0.22,30.21,5.26,2024-05-08
UltraTech Cem.,9517.95,38.91,274617.57,0.40,2258.58,38.68,20418.94,9.41,15.26,4.56,242.65,12.32,0.19,29.92,1.61,2024-05-08
Titan Company,3259.85,82.65,288932.39,0.31,771.00,5.62,12494.00,20.60,22.70,30.81,39.38,32.91,1.65,24.57,4.09,2024-05-08
Tech Mahindra,1287.00,53.33,125738.71,2.49,664.20,-40.86,12871.30,-6.17,11.89,4.71,24.14,8.64,0.10,30.21,-4.75,2024-05-08
Tata Steel,166.05,107.21,207352.09,2.17,522.14,139.90,55311.88,-3.10,12.63,2.29,-2.74,7.28,1.01,18.29,40.00,2024-05-08
Tata Motors,1012.10,18.41,371002.23,0.20,7145.43,139.98,110577.14,24.96,5.95,6.27,58.40,5.62,2.38,32.36,-0.92,2024-05-08
Tata Consumer,1112.65,77.16,106031.63,0.76,212.26,24.51,3926.94,8.52,10.86,6.61,12.07,8.50,0.22,32.25,2.81,2024-05-08
St Bk of India,810.80,10.52,723562.42,1.39,11598.46,3.87,112868.34,23.33,5.20,2.02,71.48,16.75,13.90,10.11,0.14,2024-05-08
Shriram Finance,2450.15,12.48,91965.74,1.43,2021.28,56.30,9904.30,24.33,11.23,1.88,196.02,15.93,3.99,20.36,0.53,2024-05-08
SBI Life Insuran,1431.40,75.58,143132.62,0.19,810.80,4.37,36255.19,70.25,14.88,9.61,18.91,13.56,0.00,41.82,8.75,2024-05-08
Reliance Industr,2837.10,27.56,1918809.25,0.32,21243.00,-1.34,236533.00,11.13,10.02,2.42,102.90,9.23,0.44,8.15,2.31,2024-05-08
Power Grid Corpn,301.90,17.85,280785.23,3.66,4028.25,10.50,11549.79,2.56,13.09,3.23,16.91,19.56,1.38,28.01,0.69,2024-05-08
Nestle India,2538.45,76.75,244756.24,0.66,934.17,25.79,5267.59,9.05,152.52,73.25,33.15,122.11,0.10,58.94,5.76,2024-05-08
NTPC,355.65,17.69,344960.73,2.04,5208.87,7.93,42820.38,-3.99,9.83,2.24,20.11,12.02,1.45,28.01,1.90,2024-05-08
Maruti Suzuki,12543.55,29.23,394275.18,0.72,3952.30,47.05,38471.20,19.43,23.68,4.61,429.01,18.30,0.00,65.14,1.65,2024-05-08
M & M,2185.90,24.42,271847.77,0.74,2977.04,14.07,35299.39,15.28,12.69,4.50,89.67,18.11,1.65,65.14,2.45,2024-05-08
Larsen & Toubro,3486.85,37.84,478621.19,0.69,3592.84,18.61,55127.82,18.84,11.60,6.11,90.99,11.69,1.56,40.68,12.57,2024-05-08
LTIMindtree,4710.00,30.45,139506.30,1.27,1100.70,-1.24,8892.90,2.32,32.11,6.96,154.72,25.03,0.10,30.21,1.23,2024-05-08
Kotak Mah. Bank,1648.35,17.99,327599.23,0.09,5337.20,16.88,15156.18,26.50,8.75,2.93,91.62,16.29,3.75,11.60,0.88,2024-05-08
JSW Steel,861.00,19.47,210651.87,0.39,2450.00,409.49,41940.00,7.17,8.33,2.85,45.99,5.64,1.11,18.29,-1.92,2024-05-08
Infosys,1430.00,22.81,593656.45,2.65,7975.00,30.04,37923.00,1.29,39.99,6.73,63.20,31.83,0.09,30.21,2.03,2024-05-08
IndusInd Bank,1447.10,12.58,112632.26,0.97,2346.84,15.01,12198.53,21.73,8.42,2.06,114.99,16.39,7.06,11.60,0.57,2024-05-08
ITC,441.00,26.90,550513.71,2.89,5406.52,6.65,18019.37,1.78,39.01,7.96,16.47,29.09,0.00,24.02,2.30,2024-05-08
ICICI Bank,1123.00,17.83,789156.42,0.71,12200.05,18.46,42606.72,23.72,8.37,3.66,63.02,20.63,6.53,11.60,0.30,2024-05-08
